idClienteEprinsa,Año,Identificador,Tipología,Tema,FechaEntrada,CanalRecepción,Municipio,FECHA_CORTE,ANIO,MES,TURNO,SEMANA,INCIDENCIAS,DOMINGO,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,TOTAL,País,Vacunados,%
1026,2023,INC/0376/2023/1026,Incidencia,Energia,2023-01-17 07:13:11,automatic,ESPIEL,2023-09-30,2023.0,9.0,NOCHE,1.0,Paradero Informal,0.0,0.0,0.0,0.0,0.0,23.0,6.0,29.0,China,1 298 636 000,91.08
1005,2023,INC/0113/2023/1005,Incidencia,Energia,2023-01-18 07:02:17,automatic,ALMODÓVAR DEL RÍO,2023-09-30,2023.0,9.0,NOCHE,1.0,Alteracion Orden Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,1 020 201 502,72.48
1055,2023,INC/0126/2023/1055/COR,Incidencia,Energia,2023-01-21 07:05:45,automatic,PRIEGO DE CÓRDOBA,2023-09-30,2023.0,9.0,NOCHE,1.0,Zona Rígida,0.0,0.0,0.0,0.0,0.0,24.0,21.0,45.0,Unión Europea,337 880 657,75.49
1025,2023,INC/0003/2023/1025,Incidencia,Energia,2023-01-07 07:01:08,automatic,ESPEJO,2023-09-30,2023.0,9.0,NOCHE,1.0,Pérdida de Personas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estados Unidos,261 204 035,78.67
1053,2023,INC/0246/2023/1053/COR,Incidencia,Energia,2023-01-21 07:01:25,automatic,POSADAS,2023-09-30,2023.0,9.0,NOCHE,1.0,Meretricio,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,Indonesia,202 015 743,73.79
1058,2023,INC/0074/2023/1058,Incidencia,Energia,2023-01-13 07:01:06,automatic,RUTE,2023-09-30,2023.0,9.0,NOCHE,1.0,Consumo Bebidas Alcohólicas - drogas,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,Brasil,185 208 286,86.41
1026,2023,INC/0064/2023/1026,Incidencia,Energia,2023-01-17 07:05:56,automatic,ESPIEL,2023-09-30,2023.0,9.0,NOCHE,1.0,Indigentes ,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,Pakistán,137 952 508,59.62
1058,2023,INC/0124/2023/1058,Incidencia,Energia,2023-01-13 07:01:34,automatic,RUTE,2023-09-30,2023.0,9.0,NOCHE,1.0,Movilización,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladés,130 000 824,76.76
1057,2023,INC/0036/2023/1057,Incidencia,Energia,2023-01-24 07:00:34,automatic,LA RAMBLA,2023-09-30,2023.0,9.0,NOCHE,1.0,Alerta de Robo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Japón,103 830 394,83.32
1005,2023,INC/0111/2023/1005,Incidencia,Energia,2023-01-18 07:02:05,automatic,ALMODÓVAR DEL RÍO,2023-09-30,2023.0,9.0,NOCHE,2.0,Comercio ambulatorio,30.0,12.0,21.0,12.0,16.0,16.0,15.0,122.0,México,90 320 224,71.28
1055,2023,INC/0123/2023/1055,Incidencia,Energia,2023-01-21 07:05:44,automatic,PRIEGO DE CÓRDOBA,2023-09-30,2023.0,9.0,NOCHE,2.0,Paradero Informal,13.0,24.0,16.0,1.0,5.0,7.0,11.0,77.0,Vietnam,86 785 069,89.04
1054,2023,INC/0010/2023/1054,Incidencia,Energia,2023-01-18 07:01:12,automatic,POZOBLANCO,2023-09-30,2023.0,9.0,NOCHE,2.0,Alteracion Orden Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rusia,82 034 136,56.54
1055,2023,INC/0146/2023/1055/COR,Incidencia,Energia,2023-01-22 07:01:38,automatic,PRIEGO DE CÓRDOBA,2023-09-30,2023.0,9.0,NOCHE,2.0,Zona Rígida,27.0,25.0,34.0,11.0,23.0,29.0,20.0,169.0,Filipinas,76 438 466,67.12
1058,2023,INC/0522/2023/1058,Incidencia,Energia,2023-01-14 07:06:21,automatic,RUTE,2023-09-30,2023.0,9.0,NOCHE,2.0,Pérdida de Personas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alemania,64 726 292,77.6
1053,2023,INC/0242/2023/1053/COR,Incidencia,Energia,2023-01-21 07:01:23,automatic,POSADAS,2023-09-30,2023.0,9.0,NOCHE,2.0,Meretricio,3.0,0.0,5.0,5.0,4.0,6.0,6.0,29.0,Irán,64 698 435,73.58
1058,2023,INC/0723/2023/1058,Incidencia,Energia,2023-01-16 07:00:27,automatic,RUTE,2023-09-30,2023.0,9.0,NOCHE,2.0,Consumo Bebidas Alcohólicas - drogas,3.0,0.0,3.0,2.0,2.0,5.0,8.0,23.0,Turquía,57 874 843,68.27
1026,2023,INC/0150/2023/1026,Incidencia,Energia,2023-01-17 07:10:01,automatic,ESPIEL,2023-09-30,2023.0,9.0,NOCHE,2.0,Indigentes ,4.0,4.0,11.0,3.0,5.0,11.0,7.0,45.0,Tailandia,56 811 190,79.34
1058,2023,INC/0065/2023/1058,Incidencia,Energia,2023-01-13 07:00:59,automatic,RUTE,2023-09-30,2023.0,9.0,NOCHE,2.0,Movilización,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Francia,54 505 516,80.84
1026,2023,INC/0066/2023/1026,Incidencia,Energia,2023-01-17 07:05:57,automatic,ESPIEL,2023-09-30,2023.0,9.0,NOCHE,2.0,Alerta de Robo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reino Unido,53 664 109,79.76
1058,2023,INC/0719/2023/1058,Incidencia,Energia,2023-01-16 07:00:25,automatic,RUTE,2023-09-30,2023.0,9.0,NOCHE,3.0,Comercio ambulatorio,24.0,14.0,6.0,12.5,14.0,7.0,4.0,90.0,Egipto,50 981 808,46.66
1015,2023,INC/0015/2023/1015,Incidencia,Energia,2023-01-11 07:00:01,automatic,CARCABUEY,2023-09-30,2023.0,9.0,NOCHE,3.0,Paradero Informal,23.0,7.0,9.0,12.5,3.0,9.0,1.0,78.0,Italia,50 813 325,85.77
1058,2023,INC/0141/2023/1058,Incidencia,Energia,2023-01-13 07:01:44,automatic,RUTE,2023-09-30,2023.0,9.0,NOCHE,3.0,Alteracion Orden Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Corea del Sur,45 081 942,86.98
1055,2023,INC/0171/2023/1055,Incidencia,Energia,2023-01-24 06:59:59,automatic,PRIEGO DE CÓRDOBA,2023-09-30,2023.0,9.0,NOCHE,3.0,Zona Rígida,28.0,21.0,23.0,12.5,19.0,23.0,5.0,153.0,Etiopía,44 695 420,37.16
1058,2023,INC/0312/2023/1058,Incidencia,Energia,2023-01-14 07:02:59,automatic,RUTE,2023-09-30,2023.0,9.0,NOCHE,3.0,Pérdida de Personas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,42 480 321,82.46
